name,gender
Mary,F
Annie,F
Anna,F
Margaret,F
Helen,F
Elsie,F
Lucy,F
Dorothy,F
Ruth,F
Elizabeth,F
Agnes,F
Louise,F
Jean,F
Alice,F
Esther,F
Ethel,F
Marie,F
Clara,F
Martha,F
Frances,F
Julia,F
Lillian,F
Mildred,F
Pauline,F
Katherine,F
Emma,F
Hazel,F
Minnie,F
Daisy,F
Edna,F
Evelyn,F
Florence,F
Sally,F
Olga,F
Edith,F
Maggie,F
Rose,F
Sophie,F
Gertrude,F
Virginia,F
Sarah,F
Stella,F
Vera,F
Betty,F
Irene,F
Barbara,F
Gladys,F
Ann,F
Josephine,F
Kathryn,F
Katie,F
Lorraine,F
Patricia,F
Bessie,F
Joan,F
Thelma,F
Jessie,F
Nellie,F
Ida,F
Marjorie,F
Norma,F
Beatrice,F
Elena,F
Grace,F
Laura,F
Marian,F
June,F
Lena,F
Shirley,F
Mabel,F
Eva,F
Nancy,F
Bertha,F
Doris,F
Dolly,F
Carrie,F
Jane,F
Christine,F
Eleanor,F
Cecelia,F
Lois,F
Janet,F
Maria,F
Arlene,F
Carol,F
Charlotte,F
Flora,F
Wilma,F
Jacqueline,F
Nora,F
Theresa,F
Amelia,F
Dolores,F
Geraldine,F
Lydia,F
Donna,F
Sylvia,F
Beverly,F
Bernice,F
Joyce,F
Rosemary,F
Sandra,F
Karen,F
Phyllis,F
Emily,F
Marilyn,F
Natalia,F
Judith,F
Sharon,F
Carolyn,F
Susan,F
Judy,F
Diane,F
Gloria,F
Janice,F
Joanne,F
Rita,F
Audrey,F
Ella,F
Linda,F
Catherine,F
Bonnie,F
Molly,F
Roberta,F
Kathleen,F
Caroline,F
Kathy,F
Loretta,F
Myra,F
Darlene,F
Mattie,F
Ellen,F
Francine,F
Pamela,F
Cheryl,F
Elaine,F
Gail,F
Peggy,F
Suzanne,F
Anne,F
Cynthia,F
Carla,F
Deborah,F
Diana,F
Jeanne,F
Jo,F
Lynda,F
Margie,F
Teresa,F
Vivian,F
Christina,F
Julie,F
Colleen,F
Paula,F
Delores,F
Vicki,F
Brenda,F
